,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
1892,1892,1496,Lepta_xenot_F391868,Leptasthenura xenothorax,-,Leptasthenura xenothorax,Leptasthenura xenothorax,Leptasthenura xenothorax,Furnariidae,Leptasthenura_xenothorax,
1893,1893,1496,Lepta_xenot_F391868,Leptasthenura xenothorax,-,Leptasthenura xenothorax,Leptasthenura xenothorax,Leptasthenura xenothorax,Furnariidae,Leptasthenura_xenothorax,
1894,1894,1484,Lepta_yanac_F391876,Leptasthenura yanacensis,-,Leptasthenura yanacensis,Leptasthenura yanacensis,Sylviorthorhynchus yanacensis,Furnariidae,Leptasthenura_yanacensis,name differs
1895,1895,1484,Lepta_yanac_F391876,Leptasthenura yanacensis,-,Leptasthenura yanacensis,Leptasthenura yanacensis,Sylviorthorhynchus yanacensis,Furnariidae,Leptasthenura_yanacensis,name differs
1896,1896,1484,Lepta_yanac_F391876,Leptasthenura yanacensis,-,Leptasthenura yanacensis,Leptasthenura yanacensis,Sylviorthorhynchus yanacensis,Furnariidae,Leptasthenura_yanacensis,name differs
1897,1897,2128,Leptop_amacep_L31480,Leptopogon amaurocephalus,amaurocephalus,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Pipromorphidae,Leptopogon_amaurocephalus,
1898,1898,2128,Leptop_amacep_L31480,Leptopogon amaurocephalus,amaurocephalus,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Pipromorphidae,Leptopogon_amaurocephalus,
1899,1899,2136,Leptop_ruftus_L32722,Leptopogon rufipectus,rufipectus,Leptopogon rufipectus,Leptopogon rufipectus,Leptopogon rufipectus,Pipromorphidae,Leptopogon_rufipectus,
1900,1900,2136,Leptop_ruftus_L32722,Leptopogon rufipectus,rufipectus,Leptopogon rufipectus,Leptopogon rufipectus,Leptopogon rufipectus,Pipromorphidae,Leptopogon_rufipectus,
1901,1901,2130,Leptop_supcil_L40472,Leptopogon superciliaris,superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Pipromorphidae,Leptopogon_superciliaris,
1902,1902,2134,Leptop_supcil_LSUMZ22635,Leptopogon superciliaris,albidiventer,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon albidiventer,Pipromorphidae,Leptopogon_superciliaris,
1903,1903,2132,Leptop_supcil_LSUMZ28188,Leptopogon superciliaris,hellmayri,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Pipromorphidae,Leptopogon_superciliaris,
1904,1904,2130,Leptop_supcil_L40472,Leptopogon superciliaris,superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Pipromorphidae,Leptopogon_superciliaris,
1905,1905,2134,Leptop_supcil_LSUMZ22635,Leptopogon superciliaris,albidiventer,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon albidiventer,Pipromorphidae,Leptopogon_superciliaris,
