,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
2006,2006,200028,Manacus_vitnus_L2206,Manacus vitellinus,,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,Pipridae,Manacus_vitellinus,
2007,2007,3123,Manacus_vitnus_L28569,Manacus vitellinus,vitellinus,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,Pipridae,Manacus_vitellinus,
2008,2008,200028,Manacus_vitnus_L2206,Manacus vitellinus,,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,Pipridae,Manacus_vitellinus,
2009,2009,3123,Manacus_vitnus_L28569,Manacus vitellinus,vitellinus,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,Pipridae,Manacus_vitellinus,
2010,2010,1472,Marga_bell_STRI11521,Margarornis bellulus,-,Margarornis bellulus,Margarornis bellulus,Margarornis bellulus,Furnariidae,Margarornis_bellulus,
2011,2011,1472,Marga_bell_STRI11521,Margarornis bellulus,-,Margarornis bellulus,Margarornis bellulus,Margarornis bellulus,Furnariidae,Margarornis_bellulus,
2012,2012,200029,Marga_rubsus_AGFB1023,Margarornis rubiginosus,rubiginosus,Margarornis rubiginosus,Margarornis rubiginosus,Margarornis rubiginosus,Furnariidae,Margarornis_rubiginosus,
2013,2013,200029,Marga_rubsus_AGFB1023,Margarornis rubiginosus,rubiginosus,Margarornis rubiginosus,Margarornis rubiginosus,Margarornis rubiginosus,Furnariidae,Margarornis_rubiginosus,
2014,2014,1474,Marga_squger_K21220,Margarornis squamiger,squamiger,Margarornis squamiger,Margarornis squamiger,Margarornis squamiger,Furnariidae,Margarornis_squamiger,
2015,2015,1474,Marga_squger_K21220,Margarornis squamiger,squamiger,Margarornis squamiger,Margarornis squamiger,Margarornis squamiger,Furnariidae,Margarornis_squamiger,
2016,2016,1470,Marga_stetus_P15793,Margarornis stellatus,-,Margarornis stellatus,Margarornis stellatus,Margarornis stellatus,Furnariidae,Margarornis_stellatus,
2017,2017,1470,Marga_stetus_P15793,Margarornis stellatus,-,Margarornis stellatus,Margarornis stellatus,Margarornis stellatus,Furnariidae,Margarornis_stellatus,
2018,2018,1470,Marga_stetus_P15793,Margarornis stellatus,-,Margarornis stellatus,Margarornis stellatus,Margarornis stellatus,Furnariidae,Margarornis_stellatus,
2019,2019,1470,Marga_stetus_P15793,Margarornis stellatus,-,Margarornis stellatus,Margarornis stellatus,Margarornis stellatus,Furnariidae,Margarornis_stellatus,
2020,2020,3056,Masius_chrter_H7438,Masius chrysopterus,chrysopterus,Masius chrysopterus,Masius chrysopterus,Masius chrysopterus,Pipridae,Masius_chrysopterus,
2021,2021,3056,Masius_chrter_H7438,Masius chrysopterus,chrysopterus,Masius chrysopterus,Masius chrysopterus,Masius chrysopterus,Pipridae,Masius_chrysopterus,
