,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
693,1627,Crani_vulina_L46740,Cranioleuca vulpina,dissita,Cranioleuca dissita,Cranioleuca dissita,Cranioleuca dissita,Furnariidae,,
694,1627,Crani_vulina_L46740,Cranioleuca vulpina,dissita,Cranioleuca dissita,Cranioleuca dissita,Cranioleuca dissita,Furnariidae,,
695,1649,Crani_eryops_H2081,Cranioleuca erythrops,erythrops,Cranioleuca erythrops,Cranioleuca erythrops,Cranioleuca erythrops,Furnariidae,,
696,1649,Crani_eryops_H2081,Cranioleuca erythrops,erythrops,Cranioleuca erythrops,Cranioleuca erythrops,Cranioleuca erythrops,Furnariidae,,
697,1667,Crani_gutrata_L4716,Cranioleuca gutturata,-,Cranioleuca gutturata,Cranioleuca gutturata,Thripophaga gutturata,Furnariidae,,name differs
698,1667,Crani_gutrata_L4716,Cranioleuca gutturata,-,Cranioleuca gutturata,Cranioleuca gutturata,Thripophaga gutturata,Furnariidae,,name differs
699,1667,Crani_gutrata_L4716,Cranioleuca gutturata,-,Cranioleuca gutturata,Cranioleuca gutturata,Thripophaga gutturata,Furnariidae,,name differs
700,1653,Crani_hellm_IAvHBT484,Cranioleuca hellmayri,-,Cranioleuca hellmayri,Cranioleuca hellmayri,Cranioleuca hellmayri,Furnariidae,,
701,1653,Crani_hellm_IAvHBT484,Cranioleuca hellmayri,-,Cranioleuca hellmayri,Cranioleuca hellmayri,Cranioleuca hellmayri,Furnariidae,,
702,1639,Crani_henr_ZMC125818,Cranioleuca henricae,?,Cranioleuca henricae,Cranioleuca henricae,Cranioleuca henricae,Furnariidae,,
703,1639,Crani_henr_ZMC125818,Cranioleuca henricae,?,Cranioleuca henricae,Cranioleuca henricae,Cranioleuca henricae,Furnariidae,,
704,1621,Crani_martae_NM34431,Cranioleuca marcapatae,marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Furnariidae,,
705,1621,Crani_martae_NM34431,Cranioleuca marcapatae,marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Furnariidae,,
706,1621,Crani_martae_NM34431,Cranioleuca marcapatae,marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Furnariidae,,
707,1669,Crani_muell_L25422,Cranioleuca muelleri,-,Cranioleuca muelleri,Cranioleuca muelleri,Cranioleuca muelleri,Furnariidae,,
708,1669,Crani_muell_L25422,Cranioleuca muelleri,-,Cranioleuca muelleri,Cranioleuca muelleri,Cranioleuca muelleri,Furnariidae,,
709,1641,Crani_obseta_K3846,Cranioleuca obsoleta,-,Cranioleuca obsoleta,Cranioleuca obsoleta,Cranioleuca obsoleta,Furnariidae,,
710,1641,Crani_obseta_K3846,Cranioleuca obsoleta,-,Cranioleuca obsoleta,Cranioleuca obsoleta,Cranioleuca obsoleta,Furnariidae,,
711,1643,Crani_palida_F395422,Cranioleuca pallida,-,Cranioleuca pallida,Cranioleuca pallida,Cranioleuca pallida,Furnariidae,,
712,1643,Crani_palida_F395422,Cranioleuca pallida,-,Cranioleuca pallida,Cranioleuca pallida,Cranioleuca pallida,Furnariidae,,
713,1643,Crani_palida_F395422,Cranioleuca pallida,-,Cranioleuca pallida,Cranioleuca pallida,Cranioleuca pallida,Furnariidae,,
714,1637,Crani_pyrphi_L18683,Cranioleuca pyrrhophia,striaticeps,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
715,1635,Crani_pyrphi_L52007,Cranioleuca pyrrhophia,pyrrhophia?,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
716,1637,Crani_pyrphi_L18683,Cranioleuca pyrrhophia,striaticeps,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
717,1635,Crani_pyrphi_L52007,Cranioleuca pyrrhophia,pyrrhophia?,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
718,1637,Crani_pyrphi_L18683,Cranioleuca pyrrhophia,striaticeps,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
719,1635,Crani_pyrphi_L52007,Cranioleuca pyrrhophia,pyrrhophia?,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Furnariidae,,
720,1645,Crani_semrea_F399207,Cranioleuca semicinerea,semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Furnariidae,,
721,1645,Crani_semrea_F399207,Cranioleuca semicinerea,semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Furnariidae,,
722,1645,Crani_semrea_F399207,Cranioleuca semicinerea,semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Furnariidae,,
723,1633,Crani_subata_Ph301,Cranioleuca subcristata,subcristata,Cranioleuca subcristata,Cranioleuca subcristata,Cranioleuca subcristata,Furnariidae,,
724,1633,Crani_subata_Ph301,Cranioleuca subcristata,subcristata,Cranioleuca subcristata,Cranioleuca subcristata,Cranioleuca subcristata,Furnariidae,,
725,1631,Crani_sulera_L52009,Cranioleuca sulphurifera,-,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Furnariidae,,
726,1631,Crani_sulera_L52009,Cranioleuca sulphurifera,-,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Furnariidae,,
