,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
818,388,Dichro_cincta_MZU86486,Dichrozona cincta,zononota,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
819,387,Dichro_cincta_L10517,Dichrozona cincta,cincta,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
820,389,Dichro_cincta_LSU6919,Dichrozona cincta,stellata,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
821,388,Dichro_cincta_MZU86486,Dichrozona cincta,zononota,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
822,3107,Dixiph_pipra_L55337,Dixiphia pipra,pipra,Dixiphia pipra,Dixiphia pipra,Pseudopipra pipra,Pipridae,,name differs
823,3107,Dixiph_pipra_L55337,Dixiphia pipra,pipra,Dixiphia pipra,Dixiphia pipra,Pseudopipra pipra,Pipridae,,name differs
824,3107,Dixiph_pipra_L55337,Dixiphia pipra,pipra,Dixiphia pipra,Dixiphia pipra,Pseudopipra pipra,Pipridae,,name differs
825,2943,Dolior_remse_P18878,Doliornis remseni,-,Doliornis remseni,Doliornis remseni,Doliornis remseni,Cotingidae,,
826,2943,Dolior_remse_P18878,Doliornis remseni,-,Doliornis remseni,Doliornis remseni,Doliornis remseni,Cotingidae,,
827,2943,Dolior_remse_P18878,Doliornis remseni,-,Doliornis remseni,Doliornis remseni,Doliornis remseni,Cotingidae,,
828,2945,Dolior_scleri_L8390,Doliornis sclateri,-,Doliornis sclateri,Doliornis sclateri,Doliornis sclateri,Cotingidae,,
829,2945,Dolior_scleri_L8390,Doliornis sclateri,-,Doliornis sclateri,Doliornis sclateri,Doliornis sclateri,Cotingidae,,
830,2945,Dolior_scleri_L8390,Doliornis sclateri,-,Doliornis sclateri,Doliornis sclateri,Doliornis sclateri,Cotingidae,,
831,492,Dryphi_cauata_IAvH7494,Drymophila caudata,-,Drymophila caudata,Drymophila caudata,Drymophila caudata,Thamnophilidae,,
832,492,Dryphi_cauata_IAvH7494,Drymophila caudata,-,Drymophila caudata,Drymophila caudata,Drymophila caudata,Thamnophilidae,,
833,485,Dryphi_devil_LSU9683,Drymophila devillei,devillei,Drymophila devillei,Drymophila devillei,Drymophila devillei,Thamnophilidae,,
834,486,Dryphi_devil_MPEG69273,Drymophila devillei,subochracea,Drymophila devillei,Drymophila devillei,Drymophila devillei,Thamnophilidae,,
