"","0.00980392156862745","0.0196078431372549","0.0294117647058824","0.0392156862745098","0.0490196078431373","0.0588235294117647","0.0686274509803922","0.0784313725490196","0.0882352941176471","0.0980392156862745","0.107843137254902","0.117647058823529","0.127450980392157","0.137254901960784","0.147058823529412","0.156862745098039","0.166666666666667","0.176470588235294","0.186274509803922","0.196078431372549","0.205882352941176","0.215686274509804","0.225490196078431","0.235294117647059","0.245098039215686","0.254901960784314","0.264705882352941","0.274509803921569","0.284313725490196","0.294117647058824","0.303921568627451","0.313725490196078","0.323529411764706","0.333333333333333","0.343137254901961","0.352941176470588","0.362745098039216","0.372549019607843","0.382352941176471","0.392156862745098","0.401960784313726","0.411764705882353","0.42156862745098","0.431372549019608","0.441176470588235","0.450980392156863","0.46078431372549","0.470588235294118","0.480392156862745","0.490196078431373","0.5","0.509803921568627","0.519607843137255","0.529411764705882","0.53921568627451","0.549019607843137","0.558823529411765","0.568627450980392","0.57843137254902","0.588235294117647","0.598039215686274","0.607843137254902","0.617647058823529","0.627450980392157","0.637254901960784","0.647058823529412","0.656862745098039","0.666666666666667","0.676470588235294","0.686274509803922","0.696078431372549","0.705882352941176","0.715686274509804","0.725490196078431","0.735294117647059","0.745098039215686","0.754901960784314","0.764705882352941","0.774509803921569","0.784313725490196","0.794117647058823","0.803921568627451","0.813725490196078","0.823529411764706","0.833333333333333","0.843137254901961","0.852941176470588","0.862745098039216","0.872549019607843","0.882352941176471","0.892156862745098","0.901960784313726","0.911764705882353","0.92156862745098","0.931372549019608","0.941176470588235","0.950980392156863","0.96078431372549","0.970588235294118","0.980392156862745","0.990196078431373"
"number.comparisons.trait0.bigger",0,3,2,2,2,2,3,6,6,6,6,8,7,7,8,8,8,7,9,12,12,12,14,15,16,18,20,19,18,18,16,17,15,15,15,17,19,19,21,21,24,25,29,29,30,31,31,32,34,36,38,40,42,44,45,46,46,46,47,46,48,49,48,46,47,47,49,50,52,51,51,50,49,49,49,48,48,46,44,44,43,46,44,39,41,42,38,35,35,35,31,32,30,27,25,21,19,19,10,8,5
"number.comparisons.trait1.bigger",1,2,4,4,5,3,4,9,9,10,7,7,7,7,8,12,12,13,15,18,21,23,23,24,25,25,26,25,25,27,29,30,32,31,34,36,34,34,33,31,31,32,32,32,38,36,36,35,35,37,37,39,35,34,32,31,29,27,27,27,25,23,23,22,21,20,19,17,16,14,13,12,12,11,10,10,8,7,6,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0
"number.comparisons.trait0.equal.trait1",7,7,9,14,15,18,18,20,23,25,32,33,33,41,49,55,63,69,70,73,78,79,82,83,87,88,90,91,94,99,102,108,110,114,112,115,117,123,121,126,127,128,123,130,130,134,137,140,139,137,137,135,139,139,144,145,147,148,146,149,148,148,147,150,148,147,146,145,143,144,143,143,140,141,139,136,132,132,132,132,125,116,111,110,102,92,88,85,80,70,62,56,52,49,45,41,34,26,23,17,7
"median.proportion.in.state.zero",0.333333333333333,0.666666666666667,0.366666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.428571428571429,0.6,0.6,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.708333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.75,0.75,0.75,0.75,0.666666666666667,0.666666666666667,0.75,0.666666666666667,0.75,0.75,0.8125,0.770833333333333,0.909090909090909
"median.ntax.diff.zero.minus.one",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1.5,1,1,2,2,2,2,2,1,1,2,2,2,2,4,3.5,9
"pvalue.sign.test",1,1,0.6875,0.6875,0.453125,1,1,0.60723876953125,0.60723876953125,0.454498291015625,1,1,1,1,1,0.50344467163086,0.50344467163086,0.263175964355469,0.307456254959107,0.361594608053565,0.16275565745309,0.0895310789346697,0.187741558998824,0.199590866919608,0.211023597608801,0.360377652935768,0.461391182136767,0.451380832396126,0.360377652935768,0.232693191908311,0.0724542601625445,0.0789406936814886,0.0186238366150065,0.0258960817932348,0.00939924152387309,0.0126603358024142,0.0534388105377112,0.0534388105377112,0.133674235364106,0.211608568761516,0.418754188269015,0.427042856503256,0.798152627305719,0.798152627305719,0.39612484029703,0.625406828941649,0.625406828941649,0.807194691367029,1,1,1,1,0.494382273695501,0.308168231943681,0.171060973553913,0.110015598985133,0.0639499164670669,0.034415913668175,0.0265168325506847,0.034415913668175,0.00954221142586547,0.00294276053012497,0.00406511612463866,0.00490338251635593,0.00218624317768616,0.0013071686857636,0.000357955271613165,6.73797366691544e-05,1.40741557759775e-05,4.47522484948755e-06,1.88096215642941e-06,1.21438077001863e-06,1.96987841808663e-06,7.56128098239674e-07,2.70627970300891e-07,4.51661916311962e-07,4.68818410204185e-08,4.00319617455125e-08,3.24374056503984e-08,1.51383261481897e-09,2.78119216545748e-09,4.46178205493197e-10,1.51383261481897e-09,5.631591193378e-09,1.61833213496721e-09,8.65497895574666e-10,1.49339030031115e-09,1.02445483207703e-08,1.02445483207703e-08,1.02445483207703e-08,1.30850821733475e-07,7.91624188423158e-09,2.98023223876954e-08,2.16066837310791e-07,5.96046447753906e-08,9.53674316406249e-07,3.814697265625e-06,3.814697265625e-06,0.001953125,0.0078125,0.0625
"pvalue.diversity.contrast.ratiolog",1,1,0.528232776867983,0.832570031235013,0.121335250358482,0.479500122186953,0.730646863184221,0.193466174823614,0.213728903488294,0.201384384904152,0.642866535242758,0.838391953376477,1,1,0.850750313980679,0.559342144352721,0.451703010528225,0.34785609191123,0.446566498636502,0.537995208485033,0.225535297831674,0.142286874484089,0.41648345234949,0.348106961166347,0.473642445427691,0.577761215111684,0.609160003266412,0.60691567443776,0.417907945538038,0.273542807277288,0.170452905367319,0.140310760766066,0.0470734942252301,0.0501739072997828,0.0161983941429401,0.0153581486447279,0.0488569160645519,0.0488569160645519,0.154672015126929,0.219926719736576,0.219165289401954,0.212492155326111,0.556426170780447,0.458345771494175,0.203240650159073,0.413513524507919,0.509618647628389,0.566318985342431,0.711586203027813,0.857382436172714,0.991242255021313,0.940981368428429,0.463519092683342,0.329388307169518,0.137730215871977,0.0860696904440572,0.0595341549547283,0.0165226752786223,0.0163306234793287,0.0211384164297588,0.00281160927238178,0.000311950233191656,0.000416795412066264,0.000454416693521888,0.000204702990848421,0.000152296533431089,4.00723228189531e-05,7.09683106992117e-06,3.21911580237845e-06,6.28049990271508e-07,4.02753938481641e-07,2.68622607456334e-07,3.64921649604777e-07,2.86472702236842e-07,2.77176364530074e-07,3.838357514967e-07,1.4943757122328e-07,6.86748085201216e-08,9.58333567185025e-08,3.46346024644196e-08,4.97796059362798e-08,1.3341958306845e-08,2.7875979110045e-08,1.23358415011401e-07,5.406530066137e-08,3.68517955778593e-08,1.0134713607158e-07,3.0348301608345e-07,3.10268533312327e-07,3.10268533312327e-07,1.53550280195287e-06,7.520526829737e-07,1.76933210996057e-06,6.99710808278784e-06,1.04693469805176e-05,5.13389349907994e-05,0.000123040128889949,0.000129726390136106,0.00557188880989359,0.0130983421877358,0.0625
"pvalue.diversity.contrast.proportion",1,1,0.833484004388959,0.832570031235013,0.188312689488917,0.765594483995764,0.930110508123606,0.232552652200635,0.25583217456482,0.201544000020254,0.618192836159024,0.815770919332647,1,1,0.850750313980679,0.559342144352721,0.451703010528225,0.34785609191123,0.446566498636502,0.537995208485033,0.225535297831674,0.142286874484089,0.41648345234949,0.348106961166347,0.473642445427691,0.577761215111684,0.609160003266412,0.60691567443776,0.417907945538038,0.273542807277288,0.153411968793602,0.125111964411433,0.0406101025776434,0.043111377916196,0.0137446555746391,0.0153581486447279,0.0488569160645519,0.0488569160645519,0.154672015126929,0.219926719736576,0.219165289401954,0.212492155326111,0.556426170780447,0.458345771494175,0.203240650159073,0.413513524507919,0.509618647628389,0.566318985342431,0.711586203027813,0.857382436172714,0.991242255021313,0.940981368428429,0.463519092683342,0.329388307169518,0.137730215871977,0.0860696904440572,0.0595341549547283,0.0165226752786223,0.0163306234793287,0.0211384164297588,0.00281160927238178,0.000311950233191656,0.000416795412066264,0.000454416693521888,0.000204702990848421,0.000152296533431089,4.00705832374964e-05,7.0964499656036e-06,2.54441534048592e-06,4.77216663641519e-07,3.08572693973393e-07,2.68551678571998e-07,3.64822854228849e-07,2.86389631408517e-07,2.17984696977275e-07,3.01688452554837e-07,1.20720313317308e-07,5.37326090049547e-08,7.59495739364478e-08,2.86509408808484e-08,4.11963309337235e-08,1.11936144794503e-08,2.34129604062418e-08,1.03738371365131e-07,4.56442193299651e-08,3.10754430229094e-08,1.0134713607158e-07,3.0348301608345e-07,3.10268533312327e-07,3.10268533312327e-07,1.53550280195287e-06,7.520526829737e-07,1.76933210996057e-06,6.07609309100794e-06,9.83530572531941e-06,4.7659585648487e-05,0.00011604480318801,0.000124036187511002,0.00557188880989359,0.0130983421877358,0.0625
"pvalue.diversity.contrast.difference",1,0.78353049777411,1,0.832570031235013,0.342881409787373,1,1,0.311513606593795,0.354203558755915,0.201623778580672,0.618192836159024,0.815809270295644,1,1,0.850750313980679,0.559342144352721,0.451703010528225,0.306432965908544,0.390869986163886,0.410446581436559,0.162318868928081,0.122581880380871,0.379361283939256,0.313695662130876,0.435442471001931,0.530032345329359,0.599747159772622,0.601218463982688,0.412268652163685,0.279568538945773,0.116809616878186,0.0936609132375379,0.0207574839372123,0.0256398815474147,0.00799125053915331,0.0106697029730572,0.0341568689952124,0.0341568689952124,0.113809991552079,0.163420639667733,0.25388195339203,0.248053536409384,0.614812412369692,0.511187227076779,0.203990128892983,0.414497059467635,0.5135358941753,0.619513590210618,0.763619865581202,0.785869616709383,0.909241289491115,0.987610697305745,0.481616448376884,0.306390253535145,0.12516505463044,0.07815081161936,0.0547737971233436,0.0147076487595967,0.0122594931176843,0.0187277321083152,0.00242070019623476,0.00025416959418097,0.000331378053236498,0.000361693932137974,0.000163120900548293,0.000121888852299106,3.21623639586141e-05,5.63756302816111e-06,1.0052312444067e-06,1.78555297745986e-07,1.19735415350053e-07,1.30422570024683e-07,1.75889843920186e-07,1.42825605216029e-07,9.54226528257654e-08,1.30478060420299e-07,5.84826684751903e-08,3.70241057084475e-08,5.37956528032167e-08,2.21378646664268e-08,3.1559156263412e-08,8.6874503286259e-09,1.79774685993242e-08,9.73487951060272e-08,4.29722080344406e-08,2.94472704228568e-08,1.0134713607158e-07,3.0348301608345e-07,3.10268533312327e-07,3.10268533312327e-07,1.53550280195287e-06,7.520526829737e-07,1.76933210996057e-06,6.17809441485362e-06,1.03224270172209e-05,5.09271925239305e-05,0.000121066044650708,0.000128490914876255,0.00557188880989359,0.0130983421877358,0.0625
