"tip.label" "species.richness" "temp.mean" "temp.median" "temp.var" "temp.stability1.mean" "temp.stability1.median" "temp.stability2.mean" "temp.stability2.median" "temp.seasonality.mean" "temp.seasonality.median" "temp.seasonality.var" "temp.seasonality.stability1.mean" "temp.seasonality.stability1.median" "temp.seasonality.stability2.mean" "temp.seasonality.stability2.median" "max.temp.mean" "max.temp.median" "max.temp.var" "max.temp.stability1.mean" "max.temp.stability1.median" "min.temp.mean" "min.temp.median" "min.temp.var" "min.temp.stability1.mean" "min.temp.stability1.median" "precip.mean" "precip.median" "precip.var" "precip.stability1.mean" "precip.stability1.median" "precip.stability2.mean" "precip.stability2.median" "precip.seasonality.mean" "precip.seasonality.median" "precip.seasonality.variance" "precip.seasonality.stability1.mean" "precip.seasonality.stability1.median" "precip.seasonality.stability2.mean" "precip.seasonality.stability2.median" "precip.wettest.q.mean" "precip.wettest.q.median" "precip.wettest.q.var" "precip.wettest.q.stability1.mean" "precip.wettest.q.stability1.median" "precip.wettest.q.stability2.mean" "precip.wettest.q.stability2.median" "precip.driest.q.mean" "precip.driest.q.median" "precip.driest.q.var" "precip.driest.q.stability1.mean" "precip.driest.q.stability1.median" "precip.driest.q.stability2.mean" "precip.driest.q.stability2.median"
"Syna_azara_L8177" 560 168.027950435899 169.2153426923 1128.31424402722 48.4389551578302 50.0917885492247 45.5547808297449 47.9950139507666 1259.43706790448 611.043506843028 1476955.44063904 416.776588141169 358.125257902112 488.52106152535 451.522800095896 223.301147587692 223.095076387763 1576.304026616 44.8469192303723 44.9983220524043 100.623916059843 97.1001352658259 1501.28467320687 60.4443095345212 62.116819490996 1349.94880983761 1109.83228008708 688376.248638947 240.621222093423 145.421707071607 275.706226303402 214.231398240894 55.6642356511351 51.9999832443321 630.613013840743 7.42710337428277 6.99332267056091 13.6198605780203 11.2483207206268 585.901736227127 528.325379298043 76765.9976003686 85.1856422550125 62.1337929944458 105.794405965822 90.2816699289009 138.327340168829 93.9799948406265 25455.8084275074 46.4659571675546 25.0000614113803 58.7962531608436 49.9276686532479
"Syna_cours_L58452" 131 99.8865619688786 99.8865619688786 NA 72.8865619688493 72.8865619688493 90.2217496770892 90.2217496770892 1174.96657328594 1174.96657328594 NA 209.033426714007 209.033426714007 174.258226859113 174.258226859113 149.886553746955 149.886553746955 NA 89.8865537469258 89.8865537469258 24.8965645870704 24.8965645870704 NA 72.8965645870402 72.8965645870402 531.235680676481 531.235680676481 NA 13.7643193234172 13.7643193234172 32.1912933319034 32.1912933319034 82.0033436180141 82.0033436180141 NA 5.00334361801298 5.00334361801298 14.2508300091064 14.2508300091064 296.711346751801 296.711346751801 NA 4.28865324814439 4.28865324814439 15.655592234178 15.655592234178 14.0300601341183 14.0300601341183 NA 4.96993986587744 4.96993986587744 18.2424960030156 18.2424960030156
"Syna_front_L52049" 377 232.073282196656 240.00333502856 1051.39758698625 35.1464561655844 34.9933202392262 35.4548914447377 35.2499689706746 2370.06487010698 1615.95322618575 2265305.30972759 421.445711867924 323.911505259117 504.799693115032 513.757884477507 309.290095105666 310.999970353975 528.836134241863 27.5698799895284 25.9999888290255 150.428848763112 159.030031547555 3129.29277624781 50.7970932644708 49.0200731065158 1201.95009363694 1183.83691772448 169071.581771054 94.5852867090833 77.6851249857932 223.273025930735 205.896913733893 66.0816157054909 71 494.016424300844 5.22760274060314 4.00667551304904 12.3314374276258 12.2524282055657 588.675145531044 544.008451631486 49618.4192061038 63.4740520647184 49.7631764760289 136.783162777945 128.97239248027 63.3462881381583 38.9866493892375 4890.43437320654 11.9502657584618 6.99335999713381 24.1937675429627 15.9917906347308
"Syna_albes_MPEGMT50" 582 237.189089582633 247 965.164041944077 34.2191718907489 34.9933024229918 34.9750492731329 35.7533551175551 1824.5475801591 1192.97659920442 2260314.02045983 399.907350642299 305.013347478904 510.037340133389 506.745813182212 304.828847014989 306.006693835603 533.92824684817 23.4374530048904 21.9999920391943 169.178783907318 183.006685650027 3343.20504030305 54.3485595489916 53.9933034524242 1533.05009334645 1461.00399581829 463408.6988872 149.068645255593 103.173211364151 249.894160991489 234.979968680311 63.0018863627386 65 400.193487148031 6.92132306606085 5.0066606526234 12.415690752287 12.0032655420812 721.399968170752 707.728178591161 91528.0551663414 80.608511788037 62.0163526047131 133.129351860995 123.508814009245 93.4328858996958 59.0100244980403 9801.83422391827 23.9408065785578 11.9933173919735 37.460515267274 24.7541435800687
"Syna_alblar_L44453" 418 245.11538362189 248.996669687722 190.776653690859 30.5272600796433 29 32.5024981051669 33.5016685521116 493.891873766209 448.00667322138 22436.1706011052 181.924122962752 179.003314884598 330.910663659174 331.733452898187 283.141962489519 285.000008805762 162.740858646239 12.9796054561833 9.00667446358895 204.527149719453 210 384.656415550365 59.9048489143971 60.9966674411879 2589.54533676388 2555.76798935625 565476.389129489 223.139727217901 126.137438766007 234.356026248722 176.616366541174 30.856038887966 30 155.305682118051 5.23577810840494 5 9.96237926219446 9.7491445747093 901.550200404337 878.631123388858 72361.6303239043 77.1479024043358 66.397659809928 124.699336924339 117.306983473903 365.391367623327 337.035032333838 31244.8304699784 64.9908684191268 59.9064402944039 76.2191589460788 70.1948054133216
"Syna_spixi_AMNRTC349" 287 194.61527237338 192.9599846359 451.19641838791 33.9944709466078 32.0033276962843 32.3731314713006 31.5000002525738 3368.14024717228 3468.95653696566 1093793.78040022 391.673966264216 329.949907328871 535.870667674518 498.747559916405 277.069096580341 279.003334164405 351.828589371684 24.5953601743523 26.9966547059865 101.528643852172 94.010012742853 1083.11841775484 51.4990609847572 49.0033389820131 1448.33775320006 1430.96686956881 105644.676902742 116.442521187261 101.243694290978 172.075073530128 163.57149308538 31.6579312088915 22 510.182582024645 6.69472406867597 6 11.5102649287577 11.7524946934066 531.578668370713 507.220260931533 23963.2259604456 58.1284077141018 38.8005701600918 92.3989461899173 83.0519335558159 221.213067205902 239.04028116355 12037.0008123818 31.1268035427369 25.0336104382177 51.548743980112 46.5071469934245
"Syna_hypspo_KU3122" 401 250.742981155865 251.996666747252 205.823775757986 37.6190759280701 38.000022351125 37.7671709497117 39.0033474188063 1192.94068262301 1165.01669445652 227559.651845762 387.177108677356 336.003378794729 427.894402085737 434.504165810333 313.714117011954 309 373.878452726647 30.079004501818 30.0100309040403 187.370227816617 189.996655607986 625.189121131499 57.9619470362789 57.99998451574 1453.2886237013 1460.57957517262 279109.375644545 94.4245111561654 80.9968225565459 229.383971786593 206.687467760771 70.7707100878959 71 273.614941177847 5.22374571933925 4.99664259347456 12.4533249516555 11.7516541828993 718.250520049824 741.396153336066 48035.3969501112 72.3456873501169 63.8968924164247 153.035161357897 153.248701392291 55.1399410805501 36.9899790360684 3046.28051417363 11.6992735828205 6.00000000000015 21.1105267056788 17.7549730905246
"Syna_hellm_F392830" 118 255.638885062091 261.003363330898 259.675176853787 52.8960669197565 54.9966588779866 43.9097701719272 45.7508228445033 1286.03586820195 1280.98992661263 32524.6325726608 240.943259130045 213.066894079112 365.017864102965 340.971762516509 325.86717253916 334.993356796832 449.599005104717 53.5907563326698 57.000016906087 190.528409414793 193.993373967697 260.200037190805 51.4302521895025 51.0066537148217 659.560840582093 638.023023814474 23390.9336393526 84.0628602940094 69.7665065389011 257.218789082504 252.757579294318 79.8407994665693 87 438.881098685421 7.21948607076694 4.9966698449707 17.9773536044299 17.991766048865 372.297254110083 349.940043317324 14646.1212883125 78.6660467222001 64.7193952386613 161.684198158593 161.465683578354 22.0047620507078 12.0066823741677 601.05695637933 3.6535185427963 1.00334670201286 12.2601752707607 4.50000279570243
"Syna_whiney_SP86013" 267 192.27209176852 195.010014933692 370.640325114347 42.5106763061315 41.9833139771468 40.8762160174966 38.2516975168711 2362.01083640612 2072.99330914011 395957.870407528 534.945765226555 686.020054669578 600.01504293048 611.002584463259 259.862754928642 259.096915958363 213.569061972383 35.6365886557697 35.9931497144086 107.490925539237 114.00325230502 573.802171847917 60.7655010653648 59.0266610194001 1580.23311104407 1549.71538757051 67631.2739979829 127.104267217815 103.099263259123 174.95751678194 169.24751438309 52.2632540424881 64.9899741659598 790.002205727098 4.48727587913587 3.99999365599979 11.9291537963968 12.5033197805159 708.612886704239 707.653706308184 23119.6093960185 78.516770475652 61.6928200533607 111.449223209985 106.310769025804 162.542744448453 90.1336436976019 17583.9404799634 19.9339128220518 7.96658247847051 36.7769978691235 30.1912636668024
"Syna_rufcap_L25955" 267 208.724025175694 211.989978666361 487.263994712015 37.8721615141573 36.0234647733643 38.3974410190743 37.7432905652957 2545.06322484639 2383.93321340654 501884.766110133 449.010748272317 403.936515924869 554.314719282087 527.266551920599 278.687549272152 280.94657545506 400.444952962894 31.8331515008264 30.9732369078248 122.423412845914 125.003339766013 729.019248868118 56.9646214988078 56.0033343620141 1535.28949371704 1504.75301338173 77640.9311900213 113.17896147258 91.2263399373614 146.274545407103 130.296989564033 45.7165709188827 43.0033555141983 679.607786707582 5.4017703420306 4.99669377413692 13.6110617356884 14.0025052951935 646.232523081239 622.035504308826 18389.6041463336 70.4120218529048 55.2897055038346 109.074518629099 106.016587360739 179.677028998203 146.003425223209 16248.8454429626 26.3119540271122 18.7530989917669 49.6668077432979 44.0006988790249
