"V1" "lats.max" "lats.min" "lats.mid" "areas" "mig.dists" "regions"
"1" "Anaire_nigrosta_F391921" "-4.35900878899986" "-10.8532104489998" "-7.60610961899985" "3.99055382938349" "0" "Neotropics"
"2" "Anaire_ferna_CM120730" "-33.5900878899999" "-33.6791992189999" "-33.6346435544999" "0.0090623721687667" "0" "Neotropics"
"3" "Anaire_parlus_A12192" "2.51928710900012" "-55.9224853509999" "-26.7015991209999" "268.662045895418" "0" "Neotropics"
"4" "Anaire_flaviro_CU52375" "-5.46447753899992" "-44.8842773429998" "-25.1743774409999" "142.453345232072" "236.514920756006" "Neotropics"
"5" "Anaire_alpin_NM34088" "-7.57202148399989" "-17.6834106449999" "-12.6277160644999" "2.20245773144374" "0" "Neotropics"
"6" "Capsie_flaveo_GCPEII12" "12.4639282230002" "-15.0842905179999" "-1.31018114749983" "476.330242037466" "0" "Neotropics"
"7" "Phaeo_murina_LSUMZ456" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"8" "Phaeo_murina_LSUMZ33372" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"9" "Phaeo_murina_LSUMZ180" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"10" "Nesotr_ridway_F299961" "5.55712890600017" "5.49908447300021" "5.52810668950019" "0.00202063470635573" "0" "Neotropics"
"11" "Phaeo_murina_L48589" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"12" "Phaeo_murina_LSUMZ48557" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"13" "Phaeo_murina_L90440" "12.4633178710001" "-4.90179443299985" "3.78076171900014" "907.630790464308" "0" "Neotropics"
"14" "Phymyi_gricep_SB14160" "11.3565063480002" "-2.46594807299988" "4.44527913750014" "57.8841437803294" "0" "Neotropics"
"15" "Phymyi_fastus_SP93548" "-2.36578369199992" "-27.8226928709999" "-15.0942382814999" "306.393621782104" "0" "Neotropics"
"16" "Phymyi_weeden_L58430" "-13.5839233399999" "-15.3555297849998" "-14.4697265624999" "1.17738088211835" "0" "Neotropics"
"17" "Myiotri_orntus_H4556" "8.42038611300023" "-9.46020507799983" "-0.519909482499799" "19.9605077973828" "0" "Neotropics"
"18" "Myiotri_orntus_L43994" "8.42038611300023" "-9.46020507799983" "-0.519909482499799" "19.9605077973828" "0" "Neotropics"
"19" "Nephel_linton_L33971" "-2.6503295899999" "-5.24121093799988" "-3.94577026399989" "0.952122653618495" "0" "Neotropics"
"20" "Nephel_ochven_L8296" "-5.16088867199988" "-16.336608887" "-10.7487487794999" "7.71533706283237" "0" "Neotropics"
"21" "Nephel_pulher_H2495" "7.06451416000021" "-12.80871582" "-2.87210082999988" "7.54532115045015" "0" "Neotropics"
"22" "Hirund_fernea_Y101003" "11.2367634610001" "-13.549499512" "-1.15636802549992" "600.094408680794" "0" "Neotropics"
"23" "Hirund_fernea_SB10509" "11.2367634610001" "-13.549499512" "-1.15636802549992" "600.094408680794" "0" "Neotropics"
"24" "Pyrrho_cinmeus_L8072" "11.1456909180002" "10.5441284180002" "10.8449096680002" "44.8532259065787" "0" "Neotropics"
"25" "Pyrrho_cinmeus_AMNH388114" "11.1456909180002" "10.5441284180002" "10.8449096680002" "44.8532259065787" "0" "Neotropics"
"26" "Pyrrho_cinmeus_FMNH262783" "11.1456909180002" "10.5441284180002" "10.8449096680002" "44.8532259065787" "0" "Neotropics"
"27" "Tachur_rubstr_LSUMZ52319" "-4.64096078599988" "-46.3897976239999" "-25.5153792049999" "225.120843511629" "257.665576373235" "Neotropics"
"28" "Tachur_rubstr_S614701" "-4.64096078599988" "-46.3897976239999" "-25.5153792049999" "225.120843511629" "257.665576373235" "Neotropics"
"29" "Tachur_rubstr_LSUMZ48210" "-4.64096078599988" "-46.3897976239999" "-25.5153792049999" "225.120843511629" "257.665576373235" "Neotropics"
"30" "Platyr_cortus_L11136" "16.0270996090001" "-2.02752685499991" "6.99978637700011" "423.711782580599" "0" "Neotropics"
"31" "Platyr_cancro_SB1165" "21.3679199220002" "9.1793212890002" "15.2736206055002" "38.4107383707678" "0" "Neotropics"
"32" "Platyr_mysceu_MZUSP85760" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"33" "Platyr_mysceu_MZUSPALG159" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"34" "Platyr_mysceu_MZUSP85833" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"35" "Platyr_mysceu_MZUSP85805" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"36" "Platyr_mysceu_MZUSP85745" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"37" "Platyr_mysceu_MZUSPALG39" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"38" "Platyr_mysceu_K57" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"39" "Platyr_mysceu_MZUSP92484" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
"40" "Platyr_mysceu_MZUSP92167" "11.5343017580001" "-27.3889160159999" "-7.92730712899987" "486.341806662327" "0" "Neotropics"
