"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Conopo_linata_MPEGSB76","Conopo_linata_MPEGSB76",-1.65089447905254,1.26587463369486,21.8590157243497,283,1350,2400,2100,20.0172729494999,12.6456298829999,14.743286133,214.7629913,39.20358458,2136.060791,132.290221,1441.78151,110.7212024,57.85563753,124.8104142
"Conopo_linata_LGE10413","Conopo_linata_LGE10413",-1.92819499978042,1.53247176728495,23.6902979967846,130,75,150,150,4.96417236299988,3.99932861299982,1.92968750000011,245.3453937,48.67727932,1073.882181,193.6350366,909.9314442,49.3398974,66.67198582,52.53515229
"Conopo_melops_LGE1753","Conopo_melops_LGE1753",-2.56424800093282,2.07007089902499,28.3768909959808,271,400,800,800,16.8041687009999,6.59851074199997,20.4113159179998,235.415708,34.64213158,1705.024483,178.6378727,1383.197884,96.19365937,47.29198176,155.7334118
"Conopo_melgas_L78064","Conopo_melgas_L78064",-2.89349942406014,2.24707492005845,31.2985347096923,325,350,700,700,8.57949829099994,2.01892089799992,13.1211547860001,252.342577,33.07312369,574.8953117,208.9945351,2091.757775,136.2011605,61.30348389,98.08310494
"Pittasom_ruftum_L11860","Pittasom_ruftum_L11860",-2.70966037896786,1.22247929788593,30.4321878525495,199,600,1200,1200,4.16998291000013,7.20587158200016,6.07177734400006,250.7963594,27.30206167,265.965221,228.0695399,5256.564675,2246.967493,25.26658657,893.3500816
"Pittasom_michl_L2285","Pittasom_michl_L2285",-2.70966037896786,1.22247929788593,30.4321878525495,172,500,1000,1000,9.75961303750015,10.5225219730001,1.52581787099991,248.3711366,31.12026552,295.360665,226.2177538,3102.410297,343.7198733,42.70105105,246.0540509
"Melan_maxlia_L68147","Melan_maxlia_L68147",-2.78838878479564,2.00505205875183,29.7105262111307,269,2075,2950,1750,21.367614746,15.680603027,11.374023438,154.0617658,37.79997994,2686.474107,55.21856553,1009.086803,98.51113749,81.36023154,44.06405731
"Melan_torata_L14572","Melan_torata_L14572",-2.78838878479564,2.00505205875183,29.7105262111307,342,500,1000,1000,15.4909973144999,6.66851806599988,17.6449584969999,245.2199157,38.54373557,1295.135727,178.354017,1523.34034,98.93297563,74.21096759,33.75824691
"Melan_marica_L44735","Melan_marica_L44735",-2.62993714881673,0.979325247562335,28.9165559611307,191,600,1000,800,5.3827514644999,4.74182128899997,1.28186035099987,237.6603234,42.63446131,722.7372271,175.4546945,922.6411984,144.8375728,26.40688003,144.6773069
"Melan_elega_LSUMZ67105","Melan_elega_LSUMZ67105",-2.62993714881673,0.979325247562335,28.9165559611307,184,1100,2200,2200,1.47848510749984,0.0797119140001996,3.11639404300007,226.8363559,22.05322188,689.6489656,175.988466,646.0709959,99.49893203,109.4208842,16.50155764
"Contop_cariba_USNM327749","Contop_cariba_USNM327749",-0.470265571456579,0.0304642174721586,15.5149632667909,4,900,1800,1800,23.8398742675001,26.9218750000001,6.1640014649999,251.1629045,29.50743949,1761.115528,198.2475782,1308.99673,394.1983603,56.99999104,109.1305439
